Match,Issue,Recompense,Pct_joueurs
France vs Senegal,France (1),46,88
France vs Senegal,Nul (N),128,9
France vs Senegal,Senegal (2),153,3
Irak vs Norvege,Irak (1),178,2
Irak vs Norvege,Nul (N),144,6
Irak vs Norvege,Norvege (2),30,91
Argentine vs Algerie,Argentine (1),43,80
Argentine vs Algerie,Nul (N),129,14
Argentine vs Algerie,Algerie (2),159,6
Autriche vs Jordanie,Autriche (1),38,83
Autriche vs Jordanie,Nul (N),136,14
Autriche vs Jordanie,Jordanie (2),163,3
Portugal vs RD Congo,Portugal (1),34,95
Portugal vs RD Congo,Nul (N),140,4
Portugal vs RD Congo,RD Congo (2),170,1
