Match,Score,Cote_Winamax,Pct_parieurs
France vs Senegal,1-0,5.90,3
France vs Senegal,0-0,9.50,4
France vs Senegal,0-1,13.50,1
France vs Senegal,2-0,5.90,9
France vs Senegal,1-1,6.75,5
France vs Senegal,0-2,32,1
France vs Senegal,2-1,7.50,26
France vs Senegal,2-2,16,4
France vs Senegal,1-2,17,5
France vs Senegal,3-0,8.00,4
France vs Senegal,3-3,60,0
France vs Senegal,0-3,70,0
France vs Senegal,3-1,10.50,21
France vs Senegal,4-4,300,0
France vs Senegal,1-3,50,1
France vs Senegal,3-2,25,3
France vs Senegal,Autre,34,1
France vs Senegal,2-3,50,1
France vs Senegal,4-0,15,2
France vs Senegal,0-4,225,0
France vs Senegal,4-1,20,4
France vs Senegal,1-4,130,0
Irak vs Norvege,1-0,23,1
Irak vs Norvege,0-0,14.50,8
Irak vs Norvege,0-1,6.25,5
Irak vs Norvege,2-0,55,1
Irak vs Norvege,1-1,11,3
Irak vs Norvege,0-2,5.10,19
Irak vs Norvege,2-1,32,1
Irak vs Norvege,2-2,28,1
Irak vs Norvege,1-2,8.00,10
Irak vs Norvege,3-0,160,1
Irak vs Norvege,3-3,85,1
Irak vs Norvege,0-3,5.90,20
Irak vs Norvege,3-1,85,0
Irak vs Norvege,4-4,450,0
Irak vs Norvege,1-3,9.50,8
Irak vs Norvege,3-2,70,0
Irak vs Norvege,Autre,14.50,4
Irak vs Norvege,2-3,30,1
Irak vs Norvege,4-0,500,0
Irak vs Norvege,0-4,8.50,3
Irak vs Norvege,4-1,350,0
Irak vs Norvege,1-4,14.50,6
Argentine vs Algerie,1-0,5.20,3
Argentine vs Algerie,0-0,8.50,7
Argentine vs Algerie,0-1,14,2
Argentine vs Algerie,2-0,5.30,14
Argentine vs Algerie,1-1,7.25,7
Argentine vs Algerie,0-2,38,3
Argentine vs Algerie,2-1,7.75,12
Argentine vs Algerie,2-2,20,6
Argentine vs Algerie,1-2,21,12
Argentine vs Algerie,3-0,7.50,5
Argentine vs Algerie,3-3,75,1
Argentine vs Algerie,0-3,95,1
Argentine vs Algerie,3-1,11,7
Argentine vs Algerie,4-4,450,0
Argentine vs Algerie,1-3,60,1
Argentine vs Algerie,3-2,30,1
Argentine vs Algerie,Autre,36,3
Argentine vs Algerie,2-3,60,2
Argentine vs Algerie,4-0,14,1
Argentine vs Algerie,0-4,350,2
Argentine vs Algerie,4-1,21,3
Argentine vs Algerie,1-4,200,0
Autriche vs Jordanie,1-0,6.00,7
Autriche vs Jordanie,0-0,11.50,22
Autriche vs Jordanie,0-1,15,1
Autriche vs Jordanie,2-0,5.60,27
Autriche vs Jordanie,1-1,8.00,4
Autriche vs Jordanie,0-2,38,0
Autriche vs Jordanie,2-1,7.50,10
Autriche vs Jordanie,2-2,19,2
Autriche vs Jordanie,1-2,20,1
Autriche vs Jordanie,3-0,7.50,8
Autriche vs Jordanie,3-3,65,2
Autriche vs Jordanie,0-3,85,0
Autriche vs Jordanie,3-1,9.50,4
Autriche vs Jordanie,4-4,350,0
Autriche vs Jordanie,1-3,55,1
Autriche vs Jordanie,3-2,25,0
Autriche vs Jordanie,Autre,26,4
Autriche vs Jordanie,2-3,55,0
Autriche vs Jordanie,4-0,12.50,1
Autriche vs Jordanie,0-4,300,0
Autriche vs Jordanie,4-1,17,2
Autriche vs Jordanie,1-4,160,1
Portugal vs RD Congo,1-0,5.90,3
Portugal vs RD Congo,0-0,11.50,11
Portugal vs RD Congo,0-1,19,1
Portugal vs RD Congo,2-0,5.20,15
Portugal vs RD Congo,1-1,9.00,3
Portugal vs RD Congo,0-2,50,0
Portugal vs RD Congo,2-1,8.00,7
Portugal vs RD Congo,2-2,23,1
Portugal vs RD Congo,1-2,27,2
Portugal vs RD Congo,3-0,6.50,18
Portugal vs RD Congo,3-3,75,0
Portugal vs RD Congo,0-3,120,0
Portugal vs RD Congo,3-1,9.50,12
Portugal vs RD Congo,4-4,450,0
Portugal vs RD Congo,1-3,70,0
Portugal vs RD Congo,3-2,29,1
Portugal vs RD Congo,Autre,20,10
Portugal vs RD Congo,2-3,65,0
Portugal vs RD Congo,4-0,10,7
Portugal vs RD Congo,0-4,450,0
Portugal vs RD Congo,4-1,16,3
Portugal vs RD Congo,1-4,275,0
